id,Model,percent,AI Response
386,GPT-4o,0,95
387,GPT-4o,0,95
388,HUMAN,0,75
389,HUMAN,0,80
390,GPT-4o,0,95
391,GPT-4o,0,95
392,GPT-4o,0,95
393,HUMAN,0,95
394,HUMAN,0,95
395,GPT-4o,0,95
396,GPT-4o,0,95
397,GPT-4o,0,95
398,HUMAN,0,50
399,HUMAN,0,95
400,HUMAN,0,85
401,GPT-4,0,95
402,GPT-4,0,95
403,GPT-4,0,95
404,HUMAN,0,95
405,HUMAN,0,95
406,HUMAN,0,95
407,GPT-4,0,95
408,GPT-4,0,95
409,GPT-4,0,95
410,GPT-4,0,85
411,GPT-4,0,85
412,GPT-4,0,85
413,GPT-4,0,85
414,GPT-4,0,95
415,GPT-4,0,95
416,GPT-4,0,95
417,GPT-4,0,95
418,GPT-4,0,95
419,GPT-4,0,50
420,GPT-4,0,95
421,GPT-4,0,95
422,HUMAN,0,80
423,HUMAN,0,99
424,GPT-4,0,85
425,GPT-4,0,95
426,GPT-4o,0,85
427,GPT-4o,0,95
428,GPT-4o,0,85
429,GPT-4o,0,50
430,GPT-4o,0,95
431,GPT-4o,0,95
432,GPT-4o,0,95
433,GPT-4o,0,95
434,GPT-4o,0,95
435,GPT-4o,0,95
436,GPT-4o,0,95
437,GPT-4o,0,95
438,GPT-4o,0,85
439,GPT-4o,0,95
440,GPT-4o,0,95
441,GPT-4o,0,80
442,GPT-4o,0,95
443,GPT-4o,0,95
444,GPT-4o,0,95
445,GPT-4o,0,95
446,GPT-4o,0,95
447,GPT-4o,0,95
448,GPT-4o,0,95
449,GPT-4o,0,95
450,GPT-4,0,85
451,GPT-4,0,95
452,GPT-4,0,85
453,GPT-4o,0,95
454,GPT-4o,0,95
455,GPT-4o,0,95
456,GPT-4o,0,95
457,GPT-4o,0,85
458,GPT-4o,0,95
459,GPT-4o,0,50
460,GPT-4o,0,95
461,GPT-4o,0,95
462,GPT-4o,0,85
463,GPT-4o,0,85
464,GPT-4o,0,95
465,GPT-4o,0,85
466,GPT-4o,0,95
467,GPT-4o,0,85
468,GPT-4o,0,95
469,GPT-4o,0,95
470,GPT-4o,0,95
471,GPT-4o,0,95
472,GPT-4o,0,95
473,GPT-4o,0,85
474,GPT-4o,0,95
475,GPT-4o,0,95
476,GPT-4o,0,85
477,GPT-4o,0,95
478,GPT-4o,0,95
479,GPT-4,0,95
480,GPT-4,0,85
481,GPT-4,0,85
482,GPT-4,0,85
483,GPT-4,0,95
484,GPT-4,0,95
485,GPT-4,0,95
486,GPT-4,0,85
487,GPT-4,0,95
488,GPT-4,0,95
489,GPT-4,0,85
490,GPT-4,0,95
491,GPT-4,0,95
492,GPT-4,0,95
493,GPT-4,0,95
494,GPT-4,0,95
495,GPT-4,0,95
496,GPT-4,0,95
497,GPT-4,0,95
498,GPT-4,0,85
499,GPT-4,0,95
500,GPT-4,0,95
501,GPT-4,0,95
